"oneyear.int";"year";"sample";"Freq"
"1626";"(1.2,1.8]";"1999";"me32";NA
"1630";"(1.2,1.8]";"2000";"me32";NA
"1634";"(1.2,1.8]";"2001";"me32";NA
"1638";"(1.2,1.8]";"2002";"me32";NA
"1642";"(1.2,1.8]";"2003";"me32";NA
"1646";"(1.2,1.8]";"2004";"me32";NA
"1650";"(1.2,1.8]";"2005";"me32";NA
"1654";"(1.2,1.8]";"2006";"me32";NA
"1658";"(1.2,1.8]";"2007";"me32";NA
"1662";"(1.2,1.8]";"2008";"me32";NA
"1666";"(1.2,1.8]";"2009";"me32";NA
"1670";"(1.2,1.8]";"2010";"me32";NA
"1674";"(1.2,1.8]";"2011";"me32";7
"1678";"(1.2,1.8]";"2012";"me32";NA
"1682";"(1.2,1.8]";"1992";"me33";NA
"1686";"(1.2,1.8]";"1993";"me33";NA
"1690";"(1.2,1.8]";"1994";"me33";NA
"1694";"(1.2,1.8]";"1995";"me33";NA
"1698";"(1.2,1.8]";"1996";"me33";NA
"1702";"(1.2,1.8]";"1997";"me33";NA
"1706";"(1.2,1.8]";"1998";"me33";NA
"1710";"(1.2,1.8]";"1999";"me33";NA
"1714";"(1.2,1.8]";"2000";"me33";NA
"1718";"(1.2,1.8]";"2001";"me33";NA
"1722";"(1.2,1.8]";"2002";"me33";NA
"1726";"(1.2,1.8]";"2003";"me33";NA
"1730";"(1.2,1.8]";"2004";"me33";NA
"1734";"(1.2,1.8]";"2005";"me33";NA
"1738";"(1.2,1.8]";"2006";"me33";NA
"1742";"(1.2,1.8]";"2007";"me33";NA
"1746";"(1.2,1.8]";"2008";"me33";NA
"1750";"(1.2,1.8]";"2009";"me33";NA
"1754";"(1.2,1.8]";"2010";"me33";NA
"1758";"(1.2,1.8]";"2011";"me33";3
"1762";"(1.2,1.8]";"2012";"me33";NA
"1766";"(1.2,1.8]";"1992";"me4";0
"1770";"(1.2,1.8]";"1993";"me4";0
"1774";"(1.2,1.8]";"1994";"me4";NA
"1778";"(1.2,1.8]";"1995";"me4";NA
"1782";"(1.2,1.8]";"1996";"me4";NA
"1786";"(1.2,1.8]";"1997";"me4";NA
"1790";"(1.2,1.8]";"1998";"me4";NA
"1794";"(1.2,1.8]";"1999";"me4";NA
