day;month;year;area;Nst;sample;N.sqmeter
3;8;1990;Medvezhya;6;n3;0
31;7;1991;Medvezhya;6;n3;3
3;8;1992;Medvezhya;6;n3;3
16;8;1993;Medvezhya;6;n3;1
12;8;1994;Medvezhya;6;n3;5
9;8;1995;Medvezhya;6;n3;6
2;8;1996;Medvezhya;6;n3;12
24;7;1997;Medvezhya;6;n3;31,65
8;8;1998;Medvezhya;6;n3;2
16;8;1999;Medvezhya;6;n3;NA
24;7;2000;Medvezhya;6;n3;0
13;8;2001;Medvezhya;6;n3;12,7
11;8;2002;Medvezhya;6;n3;85,15
10;8;2003;Medvezhya;6;n3;118,375
14;8;2004;Medvezhya;6;n3;9,825
2;8;2005;Medvezhya;6;n3;13,1
5;8;2006;Medvezhya;6;n3;9,825
8;8;2007;Medvezhya;6;n3;66,775
14;8;2008;Medvezhya;6;n3;0
15;8;2009;Medvezhya;6;n3;31,95
2;8;2010;Medvezhya;6;n3;0
1;8;2011;Medvezhya;6;n3;26,2
4;8;2012;Medvezhya;6;n3;0
4;8;2013;Medvezhya;6;n3;32,75
26;7;1987;Medvezhya;7;n3;19
11;8;1988;Medvezhya;7;n3;2
29;7;1989;Medvezhya;7;n3;6
30;7;1990;Medvezhya;7;n3;3
1;8;1991;Medvezhya;7;n3;1
3;8;1992;Medvezhya;7;n3;1
14;8;1993;Medvezhya;7;n3;19
12;8;1994;Medvezhya;7;n3;8
9;8;1995;Medvezhya;7;n3;62,8
2;8;1996;Medvezhya;7;n3;8
24;7;1997;Medvezhya;7;n3;9
4;8;1998;Medvezhya;7;n3;290,4
16;8;1999;Medvezhya;7;n3;NA
24;7;2000;Medvezhya;7;n3;16,375
13;8;2001;Medvezhya;7;n3;47,925
11;8;2002;Medvezhya;7;n3;81,075
10;8;2003;Medvezhya;7;n3;29,075
14;8;2004;Medvezhya;7;n3;190,9
2;8;2005;Medvezhya;7;n3;32,35
5;8;2006;Medvezhya;7;n3;16,375
8;8;2007;Medvezhya;7;n3;19,65
14;8;2008;Medvezhya;7;n3;0
15;8;2009;Medvezhya;7;n3;165,5
2;8;2010;Medvezhya;7;n3;26,2
